avg_ndvi,season,year,area_id
-0.1287165677973205,winter,1984,1
-0.1297480779706542,winter,1984,2
-0.0996706384001443,winter,1984,3
0.1214317796512063,winter,1984,4
0.0221305884591081,winter,1984,5
0.099409472627746,winter,1984,6
0.0670251748622845,winter,1984,7
0.0788983020764582,winter,1984,8
0.1184910713266727,winter,1984,9
0.0937816966285725,winter,1984,10
0.1368946207061231,winter,1984,11
-0.1268241201955114,winter,1984,12
0.0140993867558535,winter,1984,13
-0.0153323611458567,winter,1984,14
-0.0944761937008289,winter,1984,15
-0.2012550706589594,winter,1984,16
0.0656290087456745,winter,1984,17
0.0785510540051037,winter,1984,18
0.0765091024250958,winter,1984,19
0.1504569803239063,winter,1984,20
0.146788604457992,winter,1984,21
0.0734520057028644,winter,1984,22
0.0915150278101706,winter,1984,23
0.0995071358207625,winter,1984,24
0.096814707322705,winter,1984,25
0.1299590398229777,winter,1984,26
0.0850590090824217,winter,1984,27
0.1141171187231026,winter,1984,28
0.0022777809387559,winter,1984,29
-0.3041276677226458,winter,1984,30
-0.2897215488588378,winter,1984,31
-0.4420902567250965,winter,1984,32
0.0423006899931804,winter,1984,32
0.1491245777151361,winter,1984,33
-0.0659600366621276,spring,1984,1
-0.5699253748652385,spring,1984,2
-0.0487862996997259,spring,1984,3
0.1138158004767527,spring,1984,4
0.4995850748582901,spring,1984,5
0.1563826591773781,spring,1984,6
0.1479677001989897,spring,1984,7
0.3732985727740383,spring,1984,8
0.2090278621268072,spring,1984,9
0.1030801862988868,spring,1984,10
0.3041180455871866,spring,1984,11
-0.0367707806306254,spring,1984,12
0.0939088308815723,spring,1984,13
-0.0100675965165716,spring,1984,14
-0.2176757037512763,spring,1984,16
0.3699637629782222,spring,1984,17
0.0588104705919687,spring,1984,18
0.2161357864597004,spring,1984,19
0.3938776110440671,spring,1984,20
0.3546050547523962,spring,1984,21
0.3439413777130161,spring,1984,22
0.4531111678430092,spring,1984,23
0.4616841877927806,spring,1984,24
0.4308063891852517,spring,1984,25
0.1921179548073638,spring,1984,26
0.0742074577145643,spring,1984,27
0.37671357884141,spring,1984,28
0.0758860558381276,spring,1984,29
-0.1183981871051149,spring,1984,30
-0.2110421790860949,spring,1984,31
-0.4204092623639163,spring,1984,32
0.0981062091527787,spring,1984,32
0.2629536645187962,spring,1984,33
-0.0766955759473169,summer,1984,1
-0.518968128821884,summer,1984,2
-0.04120810840257,summer,1984,3
0.149616452415594,summer,1984,4
0.4882907690720445,summer,1984,5
0.1236044190445553,summer,1984,6
0.2273974949248497,summer,1984,7
0.2796716341810785,summer,1984,8
0.1246203890542993,summer,1984,9
0.0936443144113977,summer,1984,10
0.185659404550069,summer,1984,11
-0.0698630719473334,summer,1984,12
0.0779940842825867,summer,1984,13
-0.1542537455460566,summer,1984,14
-0.0757809671959785,summer,1984,15
-0.0964908721327929,summer,1984,16
0.383738360333987,summer,1984,17
0.0753268570053614,summer,1984,18
0.2284225888264419,summer,1984,19
0.4058424984428478,summer,1984,20
0.396051454480099,summer,1984,21
